date,open,high,low,close,volume,volume
2001-03-25,2798.0,2802.0,2798.0,2800.0,110870,110870
2001-03-26,2800.0,2810.0,2797.0,2798.0,96613,96613
2001-03-27,2798.0,2800.0,2795.0,2795.0,166600,166600
2001-03-28,2795.0,2849.0,2796.0,2849.0,80676,80676
2001-03-31,2849.0,2848.0,2800.0,2838.0,177362,177362
2001-04-03,2838.0,2870.0,2838.0,2868.0,55562,55562
2001-04-07,2868.0,2930.0,2868.0,2900.0,122642,122642
2001-04-08,2900.0,3020.0,2903.0,3004.0,299359,299359
2001-04-09,3004.0,3140.0,3020.0,3102.0,434320,434320
2001-04-10,3102.0,3157.0,3069.0,3080.0,592395,592395
2001-04-11,3080.0,3100.0,3071.0,3080.0,604953,604953
2001-04-14,3080.0,3110.0,3080.0,3092.0,434057,434057
2001-04-15,3092.0,3095.0,3050.0,3059.0,229777,229777
2001-04-16,3059.0,3068.0,3029.0,3068.0,268061,268061
2001-04-17,3068.0,3100.0,3065.0,3077.0,386136,386136
2001-04-18,3077.0,3100.0,3072.0,3079.0,534555,534555
2001-04-21,3079.0,3101.0,3078.0,3087.0,2129585,2129585
2001-04-22,3087.0,3100.0,3050.0,3084.0,1014348,1014348
2001-04-23,3084.0,3098.0,3085.0,3090.0,495008,495008
2001-04-24,3090.0,3130.0,3089.0,3130.0,705864,705864
2001-04-25,3130.0,3286.0,3130.0,3286.0,94443,94443
2001-04-28,3286.0,3450.0,3360.0,3450.0,962280,962280
2001-04-29,3450.0,3610.0,3440.0,3520.0,651640,651640
2001-04-30,3520.0,3590.0,3520.0,3531.0,515842,515842
2001-05-01,3531.0,3559.0,3502.0,3536.0,415255,415255
2001-05-02,3536.0,3530.0,3420.0,3420.0,307281,307281
2001-05-05,3420.0,3420.0,3370.0,3408.0,470082,470082
2001-05-06,3408.0,3470.0,3410.0,3455.0,670450,670450
2001-05-07,3455.0,3590.0,3455.0,3590.0,525826,525826
2001-05-08,3590.0,3649.0,3505.0,3598.0,642528,642528
2001-05-09,3598.0,3600.0,3565.0,3576.0,290450,290450
2001-05-12,3576.0,3579.0,3501.0,3519.0,180715,180715
2001-05-13,3519.0,3520.0,3451.0,3517.0,367043,367043
2001-05-15,3517.0,3517.0,3499.0,3503.0,283850,283850
2001-05-16,3503.0,3510.0,3490.0,3500.0,339597,339597
2001-05-19,3500.0,3514.0,3440.0,3488.0,1145576,1145576
2001-05-20,3488.0,3488.0,3415.0,3445.0,480474,480474
2001-05-21,3445.0,3446.0,3412.0,3415.0,389722,389722
2001-05-23,3415.0,3480.0,3418.0,3470.0,372608,372608
2001-05-26,3470.0,3521.0,3480.0,3501.0,396099,396099
2001-05-27,3501.0,3630.0,3508.0,3622.0,512473,512473
2001-05-28,3622.0,3650.0,3550.0,3569.0,272305,272305
2001-05-29,3569.0,3560.0,3497.0,3500.0,394759,394759
2001-05-30,3500.0,3549.0,3500.0,3530.0,331146,331146
2001-06-02,3530.0,3550.0,3490.0,3499.0,507965,507965
2001-06-03,3499.0,3500.0,3470.0,3500.0,270617,270617
2001-06-06,3500.0,3504.0,3480.0,3504.0,302522,302522
2001-06-09,3504.0,3570.0,3504.0,3564.0,356390,356390
2001-06-11,3564.0,3620.0,3570.0,3600.0,768864,768864
2001-06-12,3600.0,3609.0,3554.0,3582.0,546106,546106
2001-06-13,3582.0,3579.0,2279.0,3557.0,649121,649121
2001-06-16,3557.0,3550.0,3505.0,3507.0,366728,366728
2001-06-17,3507.0,3505.0,3477.0,3496.0,547261,547261
2001-06-18,3496.0,3510.0,3470.0,3510.0,491032,491032
2001-06-19,3510.0,3550.0,3510.0,3540.0,951258,951258
2001-06-20,3540.0,3589.0,3505.0,3580.0,596395,596395
2001-06-23,3580.0,3598.0,3531.0,3540.0,440805,440805
2001-06-24,3540.0,3560.0,3530.0,3540.0,580158,580158
2001-06-25,3540.0,3551.0,3522.0,3540.0,488441,488441
2001-06-26,3540.0,3540.0,3510.0,3522.0,2633144,2633144
2001-06-27,3522.0,3522.0,3507.0,3510.0,627807,627807
2001-06-30,3510.0,3510.0,3480.0,3496.0,726317,726317
2001-07-01,3496.0,3500.0,3470.0,3500.0,1012598,1012598
2001-07-02,3500.0,3489.0,3461.0,3470.0,630221,630221
2001-07-03,3470.0,3470.0,3424.0,3442.0,1082782,1082782
2001-07-04,3442.0,3441.0,3419.0,3440.0,943588,943588
2001-07-07,3440.0,3439.0,3420.0,3420.0,873633,873633
2001-07-08,3420.0,3450.0,3420.0,3450.0,873256,873256
2001-07-09,3450.0,3520.0,3449.0,3511.0,1121110,1121110
2001-07-10,3511.0,3550.0,3490.0,3510.0,1488212,1488212
2001-07-11,3510.0,3541.0,3506.0,3519.0,1030379,1030379
2001-07-14,3519.0,3539.0,3504.0,3510.0,1612780,1612780
2001-07-15,3510.0,3515.0,3490.0,3499.0,5837457,5837457
2001-07-16,3499.0,3540.0,3487.0,3531.0,4178513,4178513
2001-08-14,3531.0,3450.0,3250.0,3295.0,1045135,1045135
2001-08-15,3295.0,3365.0,3295.0,3340.0,1522950,1522950
2001-08-18,3340.0,3401.0,3350.0,3400.0,2020509,2020509
2001-08-19,3400.0,3401.0,3368.0,3370.0,1008851,1008851
2001-08-20,3370.0,3350.0,3251.0,3252.0,632935,632935
2001-08-21,3252.0,3251.0,3180.0,3240.0,691479,691479
2001-08-22,3240.0,3261.0,3190.0,3230.0,556096,556096
2001-08-25,3230.0,3310.0,3225.0,3227.0,444376,444376
2001-08-26,3227.0,3234.0,3190.0,3191.0,380933,380933
2001-08-27,3191.0,3191.0,3103.0,3103.0,458272,458272
2001-08-28,3103.0,3163.0,3110.0,3151.0,530458,530458
2001-08-29,3151.0,3152.0,3100.0,3140.0,542600,542600
2001-09-01,3140.0,3140.0,3080.0,3086.0,376749,376749
2001-09-02,3086.0,3088.0,3033.0,3050.0,386757,386757
2001-09-03,3050.0,3040.0,2990.0,3000.0,726518,726518
2001-09-04,3000.0,3051.0,2950.0,3050.0,493069,493069
2001-09-05,3050.0,3101.0,3050.0,3100.0,532611,532611
2001-09-08,3100.0,3170.0,3100.0,3170.0,457882,457882
2001-09-09,3170.0,3230.0,3140.0,3200.0,551484,551484
2001-09-10,3200.0,3198.0,3102.0,3110.0,190500,190500
2001-09-11,3110.0,3140.0,3081.0,3110.0,268651,268651
2001-09-12,3110.0,3105.0,2995.0,3100.0,678947,678947
2001-09-15,3100.0,3061.0,2995.0,3035.0,696351,696351
2001-09-16,3035.0,3010.0,2940.0,2998.0,820593,820593
2001-09-17,2998.0,3000.0,2849.0,2897.0,2041756,2041756
2001-09-18,2897.0,2910.0,2820.0,2904.0,920719,920719
2001-09-19,2904.0,3049.0,2908.0,3049.0,1475872,1475872
2001-09-22,3049.0,3190.0,3049.0,3162.0,1288852,1288852
2001-09-23,3162.0,3201.0,3120.0,3149.0,757019,757019
2001-09-24,3149.0,3145.0,3058.0,3082.0,363674,363674
2001-09-25,3082.0,3094.0,3010.0,3063.0,446425,446425
2001-09-26,3063.0,3071.0,3030.0,3069.0,810289,810289
2001-09-29,3069.0,3060.0,3003.0,3005.0,516618,516618
2001-09-30,3005.0,3080.0,3000.0,3070.0,696590,696590
2001-10-02,3070.0,3100.0,3040.0,3060.0,455326,455326
2001-10-03,3060.0,3067.0,3030.0,3050.0,801803,801803
2001-10-06,3050.0,3068.0,3037.0,3050.0,840036,840036
2001-10-07,3050.0,3050.0,3020.0,3046.0,534078,534078
2001-10-08,3046.0,3030.0,2997.0,3009.0,593457,593457
2001-10-09,3009.0,3000.0,2950.0,2950.0,452746,452746
2001-10-10,2950.0,2938.0,2851.0,2898.0,729946,729946
2001-10-13,2898.0,3000.0,2893.0,2946.0,601958,601958
2001-10-14,2946.0,3010.0,2950.0,2996.0,727266,727266
2001-10-16,2996.0,3050.0,3000.0,3040.0,613438,613438
2001-10-17,3040.0,3100.0,3050.0,3060.0,756840,756840
2001-10-20,3060.0,3120.0,3050.0,3108.0,908566,908566
2001-10-21,3108.0,3160.0,3123.0,3148.0,573919,573919
2001-10-22,3148.0,3200.0,3149.0,3189.0,841192,841192
2001-10-23,3189.0,3200.0,3150.0,3164.0,1868957,1868957
2001-10-24,3164.0,3163.0,3120.0,3149.0,363301,363301
2001-10-27,3149.0,3140.0,3090.0,3100.0,462358,462358
2001-10-28,3100.0,3095.0,3050.0,3070.0,386915,386915
2001-10-29,3070.0,3117.0,3059.0,3100.0,380856,380856
2001-10-30,3100.0,3100.0,3080.0,3091.0,305326,305326
2001-10-31,3091.0,3155.0,3090.0,3150.0,498444,498444
2001-11-03,3150.0,3175.0,3150.0,3150.0,429170,429170
2001-11-04,3150.0,3164.0,3150.0,3150.0,456071,456071
2001-11-05,3150.0,3160.0,3150.0,3156.0,617955,617955
2001-11-06,3156.0,3188.0,3156.0,3160.0,456083,456083
2001-11-07,3160.0,3158.0,3139.0,3150.0,487912,487912
2001-11-10,3150.0,3151.0,3100.0,3100.0,278205,278205
2001-11-11,3100.0,3100.0,3050.0,3078.0,449039,449039
2001-11-12,3078.0,3073.0,3039.0,3069.0,421452,421452
2001-11-13,3069.0,3085.0,3063.0,3085.0,245754,245754
2001-11-14,3085.0,3130.0,3090.0,3100.0,315737,315737
2001-11-17,3100.0,3110.0,3080.0,3080.0,262403,262403
2001-11-18,3080.0,3085.0,3040.0,3080.0,277471,277471
2001-11-19,3080.0,3090.0,3061.0,3080.0,422986,422986
2001-11-20,3080.0,3079.0,3051.0,3078.0,241997,241997
