date,open,high,low,close,volume
2016-10-17,1000.0,9999.0,9999.0,9999.0,82560000
2016-10-18,9999.0,10498.0,10498.0,10498.0,1954419
2016-10-19,10498.0,11022.0,11022.0,10910.0,314876
2016-10-22,10910.0,11455.0,11455.0,11455.0,6126912
2016-10-23,11455.0,12027.0,12027.0,12027.0,13486833
2016-10-24,12027.0,12628.0,12628.0,12628.0,1395659
2016-10-25,12628.0,13259.0,13259.0,13259.0,443561
2016-10-26,13259.0,13921.0,13921.0,13921.0,17085221
2016-10-29,13921.0,14617.0,14617.0,14617.0,1879624
2016-10-30,14617.0,15347.0,15347.0,15347.0,564934
2016-10-31,15347.0,16114.0,15500.0,15870.0,31708781
2016-11-01,15870.0,15970.0,15250.0,15639.0,12365860
2016-11-02,15639.0,16211.0,15451.0,15946.0,6803752
2016-11-05,15946.0,16743.0,15810.0,16424.0,9699634
2016-11-06,16424.0,17245.0,16710.0,17078.0,9264897
2016-11-07,17078.0,17451.0,16755.0,17038.0,3965995
2016-11-08,17038.0,16999.0,16302.0,16665.0,4884195
2016-11-09,16665.0,16159.0,15832.0,15875.0,9761980
2016-11-12,15875.0,16290.0,15601.0,15896.0,2607534
2016-11-13,15896.0,16234.0,15740.0,16008.0,2066467
2016-11-14,16008.0,16290.0,15880.0,16007.0,1530032
2016-11-15,16007.0,16100.0,15690.0,15855.0,1850282
2016-11-16,15855.0,15990.0,15550.0,15766.0,1787763
2016-11-19,15766.0,15989.0,15606.0,15839.0,1291132
2016-11-21,15839.0,15999.0,15588.0,15714.0,777387
2016-11-22,15714.0,15920.0,15400.0,15683.0,2358784
2016-11-23,15683.0,15887.0,15503.0,15604.0,938336
2016-11-26,15604.0,15590.0,15031.0,15258.0,1642250
2016-11-27,15258.0,15875.0,15300.0,15551.0,1568345
2016-11-29,15551.0,15699.0,15311.0,15511.0,1226676
2016-12-03,15511.0,15320.0,14800.0,14952.0,2033430
2016-12-04,14952.0,15097.0,14502.0,14929.0,1253840
2016-12-05,14929.0,15250.0,14500.0,15005.0,2850872
2016-12-06,15005.0,15755.0,15220.0,15595.0,3548460
2016-12-07,15595.0,16090.0,15400.0,15882.0,1429497
2016-12-10,15882.0,15899.0,15420.0,15665.0,1195999
2016-12-11,15665.0,15720.0,15390.0,15629.0,794918
2016-12-12,15629.0,15750.0,15121.0,15410.0,1163525
2016-12-13,15410.0,15580.0,15200.0,15486.0,739739
2016-12-14,15486.0,15550.0,15210.0,15449.0,803218
2016-12-18,15449.0,15690.0,15307.0,15599.0,833713
2016-12-19,15599.0,15750.0,15311.0,15519.0,272228
2016-12-20,15519.0,15779.0,15462.0,15617.0,843040
2016-12-21,15617.0,15699.0,15400.0,15588.0,943256
2016-12-24,15588.0,15600.0,15150.0,15304.0,562243
2016-12-25,15304.0,15400.0,15000.0,15253.0,190013
2016-12-26,15253.0,15160.0,14800.0,14989.0,613399
2016-12-27,14989.0,15100.0,14803.0,14992.0,810464
2016-12-28,14992.0,14937.0,14600.0,14764.0,504259
2016-12-31,14764.0,14799.0,14400.0,14657.0,264241
2017-01-01,14657.0,14700.0,14215.0,14502.0,1010038
2017-01-02,14502.0,14790.0,14310.0,14545.0,286134
2017-01-03,14545.0,14779.0,14360.0,14528.0,329907
2017-01-04,14528.0,14997.0,14500.0,14662.0,580469
2017-01-07,14662.0,14770.0,14460.0,14525.0,434002
2017-01-08,14525.0,14660.0,14404.0,14506.0,508213
2017-01-09,14506.0,14680.0,14254.0,14415.0,249193
2017-01-11,14415.0,15000.0,14401.0,14886.0,819881
2017-01-14,14886.0,15630.0,15630.0,15630.0,584719
2017-01-15,15630.0,16411.0,16411.0,16411.0,414048
2017-01-16,16411.0,17231.0,15800.0,16754.0,7973531
2017-01-17,16754.0,16248.0,15917.0,15974.0,2541773
2017-01-18,15974.0,15950.0,15176.0,15253.0,1673897
2017-01-21,15253.0,15489.0,14710.0,14937.0,446527
2017-01-22,14937.0,15198.0,14540.0,14711.0,486448
2017-01-23,14711.0,14949.0,14631.0,14761.0,259552
2017-01-24,14761.0,14900.0,14500.0,14759.0,770523
2017-01-25,14759.0,14815.0,14600.0,14652.0,317710
2017-01-28,14652.0,14779.0,14413.0,14531.0,357771
2017-01-29,14531.0,15250.0,14571.0,15079.0,1348387
2017-01-30,15079.0,15450.0,15190.0,15293.0,540884
2017-01-31,15293.0,15390.0,14700.0,14890.0,529110
2017-02-01,14890.0,15179.0,14751.0,14990.0,836753
2017-02-04,14990.0,15090.0,14601.0,14791.0,426185
2017-02-05,14791.0,15150.0,14611.0,14773.0,812933
2017-02-06,14773.0,15000.0,14674.0,14870.0,438972
2017-02-07,14870.0,15397.0,14751.0,15039.0,666878
2017-02-08,15039.0,15149.0,14800.0,14920.0,896005
2017-02-11,14920.0,15175.0,14700.0,14824.0,1586197
2017-02-12,14824.0,14944.0,14689.0,14731.0,324898
2017-02-13,14731.0,14890.0,14652.0,14803.0,705611
2017-02-14,14803.0,14800.0,14671.0,14745.0,213056
2017-02-15,14745.0,14880.0,14656.0,14720.0,214687
2017-02-18,14720.0,15147.0,14630.0,14915.0,6445748
2017-02-19,14915.0,15660.0,15202.0,15614.0,2567875
2017-02-20,15614.0,15800.0,15330.0,15611.0,1572020
2017-02-21,15611.0,15680.0,15405.0,15510.0,988506
2017-02-22,15510.0,15599.0,15300.0,15434.0,849765
2017-02-25,15434.0,15400.0,15166.0,15208.0,543171
2017-02-26,15208.0,15300.0,15058.0,15157.0,542180
2017-02-27,15157.0,15279.0,14912.0,15031.0,1017895
2017-02-28,15031.0,15080.0,14831.0,14958.0,874106
2017-03-01,14958.0,15169.0,14700.0,14875.0,528889
2017-03-04,14875.0,14980.0,14671.0,14785.0,269873
2017-03-05,14785.0,15198.0,14641.0,14806.0,793038
2017-03-06,14806.0,14950.0,14641.0,14718.0,413666
2017-03-07,14718.0,14928.0,14642.0,14827.0,666770
2017-03-08,14827.0,15568.0,14910.0,15542.0,7867527
2017-03-11,15542.0,16319.0,15500.0,16178.0,4212245
2017-03-12,16178.0,16770.0,16103.0,16409.0,2086240
2017-03-13,16409.0,16299.0,15840.0,16147.0,1841761
2017-03-14,16147.0,16954.0,16099.0,16776.0,1733398
2017-03-15,16776.0,17140.0,16702.0,16947.0,1025191
2017-03-18,16947.0,17790.0,17000.0,17519.0,1930773
2017-03-25,17519.0,18394.0,17499.0,18355.0,4416823
2017-03-26,18355.0,18900.0,18205.0,18583.0,1127863
2017-03-27,18583.0,18850.0,18004.0,18512.0,1076444
2017-03-28,18512.0,19000.0,18554.0,18743.0,683338
2017-03-29,18743.0,19266.0,18783.0,19065.0,2845666
2017-04-03,19065.0,20018.0,19140.0,19518.0,5083570
2017-04-04,19518.0,20150.0,19401.0,19624.0,1429335
2017-04-05,19624.0,19799.0,18651.0,18980.0,1732141
2017-04-08,18980.0,19700.0,18979.0,19249.0,1158562
2017-04-09,19249.0,20186.0,19382.0,19791.0,1397334
2017-04-10,19791.0,20390.0,20002.0,20145.0,1202123
2017-04-12,20145.0,20488.0,20145.0,20217.0,753230
2017-04-15,20217.0,21227.0,21227.0,21227.0,14144028
2017-04-16,21227.0,22288.0,22288.0,22288.0,678672
2017-04-17,22288.0,23402.0,23402.0,23402.0,2227702
2017-04-18,23402.0,24572.0,23800.0,24456.0,13738010
2017-04-19,24456.0,25678.0,24701.0,25445.0,6787540
2017-04-22,25445.0,26350.0,25090.0,25584.0,5797301
2017-04-23,25584.0,25575.0,24450.0,24833.0,1740037
2017-04-24,24833.0,26074.0,24878.0,25778.0,2002455
2017-04-26,25778.0,26980.0,25451.0,26358.0,1630591
2017-04-29,26358.0,25790.0,25041.0,25123.0,1198685
2017-04-30,25123.0,25390.0,24000.0,24379.0,2476019
2017-05-01,24379.0,25099.0,24000.0,24528.0,1669115
2017-05-02,24528.0,25754.0,24112.0,25635.0,3747799
2017-05-03,25635.0,26916.0,26055.0,26517.0,4529864
2017-05-06,26517.0,27600.0,26300.0,27014.0,969259
2017-05-07,27014.0,26399.0,25801.0,25981.0,2054695
2017-05-08,25981.0,26150.0,24682.0,24802.0,2522537
2017-05-09,24802.0,24997.0,23562.0,23669.0,4511117
2017-05-10,23669.0,24730.0,23900.0,24146.0,673618
2017-05-13,24146.0,24668.0,23560.0,23891.0,558898
2017-05-14,23891.0,24499.0,23810.0,24129.0,783610
2017-05-15,24129.0,24448.0,23500.0,23891.0,1090407
2017-05-16,23891.0,24990.0,24000.0,24380.0,878521
2017-05-17,24380.0,24000.0,23400.0,23706.0,906350
2017-05-20,23706.0,24891.0,24891.0,24891.0,765956
2017-05-21,24891.0,25200.0,23810.0,24468.0,1165820
2017-05-22,24468.0,24390.0,23410.0,23661.0,836718
2017-05-23,23661.0,23999.0,22600.0,23075.0,3011849
2017-05-24,23075.0,23700.0,22511.0,23117.0,2573002
2017-05-30,22117.0,22600.0,22400.0,22532.0,398871
